	title	cn	_merge
0	Title: Atlas zur Kirchengeschichte : die christlichen Kirchen 	BR98 .J43 1987	both
1	Title: Atlas of the early Christian world / F. van der Meer 	BR160.A2 M4	left_only
2	Title: Historical atlas of religion in America / Edwin Scott 	BR515 .G3 1976	left_only
3	Title: New atlas of the Bible [by] Jan H. Negenman. Edited by 	BS621 .N44	left_only
4	Title: The Westminster historical atlas to the Bible / edited 	BS630 .W7 1956	left_only
5	Title: The Macmillan Bible atlas / by Yohanan Aharoni and 	BS631 .A53 1977	left_only
6	Title: Atlas of the Bible. Translated and edited by Joyce M. 	BS631 .G7 1956	left_only
7	Title: Current affairs atlas / edited by Donald Paneth ; 	D421 .C87	left_only
8	Title: An atlas of Russian history; eleven centuries of 	DK17 .C5	left_only
9	Title: The Muslims in the world / [cartographic material] / 	DS35.625.A1 M83	left_only
10	Title: The Muslims in the world / [cartographic material] / 	DS35.625.A1 M83	left_only
11	Title: Atlas of Mesopotamia; a survey of the history and 	DS69.5 .B44	left_only
12	Title: Atlas of the Philippine Islands ... 	DS654 .M2	left_only
13	Title: Atlas of African prehistory, compiled by J. Desmond 	DT13 .C53	both
14	Title: Atlas of African prehistory, compiled by J. Desmond 	DT13 .C53	both
15	Title: Atlas of African prehistory, compiled by J. Desmond 	DT13 .C53	both
16	Title: The story of America as reported by its newspapers 	E173 .E54	left_only
17	Title: The American heritage pictorial atlas of United States 	E179.5 .A54	left_only
18	Title: We the people : an atlas of America's ethnic diversity 	E184.A1 A479 1988	both
19	Title: Atlas for the American Civil War / Thomas E. Griess 	E470 .A45 1986	left_only
20	Title: Upper East Side living [cartographic material] / 	F128.18 .U4 1997	both
21	Title: Upper West Side [cartographic material] / Identity Map 	F128.18 .U6 1996	both
22	Title: Index-gazetteer of the world. 	G103 .T5	left_only
23	Title: General world atlases in print, 1972-1973; a 	G1000 .W34 1973	left_only
24	Title: The advanced atlas of modern geography. 	G1019 .B27	both
25	Title: The Columbus atlas; or, Regional atlas of the world 	G1019 .B3	left_only
