	title	cn	_merge
0	Title: Atlas of the world's religions / [cartographic 	BL85 .A85 2007	right_only
1	Title: The sacred bridge [cartographic material] : Carta's 	BS630 .R356 2006	right_only
2	Title: The Collegeville atlas of the Bible / Jay Harpur and 	BS635.2 .H38 1999	right_only
3	Title: Peoples and places of the past : the National 	CB311 .P44 1983	right_only
4	Title: An historical atlas of Kent / edited by Terence Lawson 	DA670.K3 H55 2004	right_only
5	Title: Historical atlas of South-West England / edited by 	DA670.W49 H57 1999	right_only
6	Title: Survey of all lands and tenements belonging to the 	DA681 .T7412 1940	right_only
7	Title: Survey of all lands and tenements belonging to the 	DA681 .T7413 1941	right_only
8	Title: Survey of all lands and tenements belonging to the 	DA681 .T74 1938	right_only
9	Title: Seventeenth century plans of properties belonging to 	DA687.S115 S47 1950	right_only
10	Title: Mapping Meath in the early nineteenth century : with 	DA990.M4 H67 2007	right_only
11	Title: Balkan battlegrounds : a military history of the 	DR1313 .B348 2002 V. MAPS	right_only
12	Title: Administrative subdivisions of Japan : atlas. 	DS805 .U52 ATLAS	right_only
13	Title: American Indians and Alaska Natives in the United 	E98.C17 U6 2010	right_only
14	Title: The West Point atlas of American Wars / chief editor: 	E181 .E7 V. 1	right_only
15	Title: The West Point atlas of American Wars / chief editor: 	E181 .E7 V. 2	right_only
16	Title: Atlas of the Civil War / by Steven Woodworth and 	E468 .W754 2004	right_only
17	Title: Atlas of the Civil War, month by month : major battles 	E470 .S94 2004	right_only
18	Title: The official atlas of the Civil War [cartographic 	E740 .A4 1958	right_only
19	Title: The Adirondack atlas : a geographic portrait of the 	F127.A2 J46 2004	right_only
20	Title: New York [cartographic material] : the city's land 		right_only
21	Title: Sanborn landbook, the Bronx, New York [cartographic 	F128.B8 S263 2005	right_only
22	Title: Historical atlas of the Pacific Northwest : maps of 	F851 .H38 1999	right_only
23	Title: The Clementine atlas of the moon / [cartographic 	G1000.3 .B8 2004	right_only
24	Title: National Geographic atlas of the world / [chief 	G1019 .N36 1992	right_only
25	Title: The New York Times atlas of the world; in 	G1019 .N49	right_only
26	Title: Rand McNally cosmopolitan world atlas. 	G1019 .R3 1981	right_only
27	Title: International world atlas. - 	G1019 .R33 1961	right_only
28	Title: The Times survey atlas of the world / a comprehensive 	G1019 .T5 1922	right_only
29	Title: The Times atlas of the world / produced and published 	G1019 .T52 1975	right_only
30	Title: Atlas of the world. 	G1021 .A85 1992	right_only
31	Title: Atlas of the world. 	G1021 .A85 1993	right_only
32	Title: Atlas of the world / [cartographic material] / 	G1021 .A85 2001	right_only
33	Title: Atlas of the world / [cartographic material] / 	G1021 .A85 2003	right_only
34	Title: Oxford atlas of the world / [cartographic material] / 	G1021 .A85 2006	right_only
35	Title: Oxford atlas of the world / [text, Keith Lye ; 	G1021 .A85 2011	right_only
36	Title: Collins essential atlas of the world [cartographic 	G1021 .C65 1998	right_only
